date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
1/20/21,NM,A,3009,,34,,11280,11280,605,70,,,2019174,9105,,,,,,165835,,881,0,,,,,,89756,,0,2185009,9986,,,,,,0,2185009,9986
1/19/21,NM,A+,2975,,17,,11210,11210,643,35,,,2010069,10368,,,,,,164954,,691,0,,,,,,88982,,0,2175023,11059,,,,,,0,2175023,11059
1/18/21,NM,A+,2958,,26,,11175,11175,611,69,,,1999701,5820,,,,,,164263,,626,0,,,,,,87502,,0,2163964,6446,,,,,,0,2163964,6446
1/17/21,NM,A+,2932,,22,,11106,11106,612,31,,,1993881,16169,,,,,,163637,,744,0,,,,,,86110,,0,2157518,16913,,,,,,0,2157518,16913
1/16/21,NM,A,2910,,36,,11075,11075,632,70,,,1977712,12023,,,,,,162893,,1088,0,,,,,,84803,,0,2140605,13111,,,,,,0,2140605,13111
1/15/21,NM,A,2874,,38,,11005,11005,670,58,,,1965689,-14330,,,,,,161805,,1262,0,,,,,,84015,,0,2127494,-13068,,,,,,0,2127494,-13068
1/14/21,NM,A,2836,,29,,10947,10947,691,75,,,1980019,14148,,,,,,160543,,1424,0,,,,,,82809,,0,2140562,15572,,,,,,0,2140562,15572
1/13/21,NM,A,2807,,13,,10872,10872,702,57,,,1965871,10060,,,,,,159119,,1145,0,,,,,,81603,,0,2124990,11205,,,,,,0,2124990,11205
1/12/21,NM,A,2794,,30,,10815,10815,715,94,,,1955811,11743,,,,,,157974,,887,0,,,,,,80580,,0,2113785,12630,,,,,,0,2113785,12630
1/11/21,NM,A,2764,,15,,10721,10721,704,62,,,1944068,6650,,,,,,157087,,930,0,,,,,,78826,,0,2101155,7580,,,,,,0,2101155,7580
1/10/21,NM,A,2749,,17,,10659,10659,682,37,,,1937418,13556,,,,,,156157,,1203,0,,,,,,77731,,0,2093575,14759,,,,,,0,2093575,14759
1/9/21,NM,A,2732,,22,,10622,10622,696,112,,,1923862,15333,,,,,,154954,,1498,0,,,,,,76801,,0,2078816,16831,,,,,,0,2078816,16831
1/8/21,NM,A,2710,,30,,10510,10510,703,144,,,1908529,12012,,,,,,153456,,1637,0,,,,,,75883,,0,2061985,13649,,,,,,0,2061985,13649
1/7/21,NM,A,2680,,39,,10366,10366,722,88,,,1896517,13923,,,,,,151819,,1835,0,,,,,,74235,,0,2048336,15758,,,,,,0,2048336,15758
